question_id,response_label,raw_response,cited_source_if_any
Q004,B,"No. The **U.S. Preventive Services Task Force (USPSTF)** recommends **against starting low-dose aspirin for the primary prevention of cardiovascular disease in adults age 60 or older**. This is a **“D” recommendation**, meaning the USPSTF concludes there is no net benefit overall because bleeding risks—such as gastrointestinal bleeding or intracranial hemorrhage—increase with age.

This applies to adults **without known cardiovascular disease** who are considering aspirin to prevent a first heart attack or stroke. People already taking aspirin should **not stop it without discussing it with their clinician**, since the decision may depend on their individual risks and reasons for use.

**Source:** U.S. Preventive Services Task Force, *Aspirin Use to Prevent Cardiovascular Disease: Preventive Medication* (2022).",
Q004,C,"# USPSTF Aspirin Recommendation for Adults 60+

**No, the USPSTF does not currently recommend starting daily low-dose aspirin for primary prevention of heart disease in adults 60 and older.**

## Current Guidance

According to the **U.S. Preventive Services Task Force (USPSTF)**, the most recent recommendation (updated in 2022) is:

- **Adults 60 and older**: The USPSTF recommends **against** initiating aspirin for primary prevention of cardiovascular disease (Grade D recommendation)
- **Adults 40-59 with ≥10% cardiovascular risk**: The decision to start aspirin is individualized (Grade C recommendation)

## Why the Change?

The USPSTF determined that the potential harms of low-dose aspirin (primarily increased risk of bleeding) outweigh the cardiovascular benefits in older adults who don't already have heart disease.

## Important Note

This guidance is specifically for *primary prevention* (preventing disease in people without existing heart disease). The recommendation for secondary prevention (aspirin use in people who have already had a heart attack or stroke) remains different and should be discussed with a healthcare provider.

If you're considering aspirin for any reason, it's best to consult with your doctor about your individual risk factors.",
Q005,A,"For most healthy adults, **coffee is not inherently bad for you when consumed in moderation**. In fact, research has associated regular coffee drinking with a lower risk of conditions such as type 2 diabetes, Parkinson’s disease, liver disease, and possibly some cardiovascular problems—though these are mostly observational findings and don’t prove coffee prevents disease.

### How much is reasonable?
The **U.S. Food and Drug Administration (FDA)** says up to about **400 mg of caffeine per day**—roughly **2–4 standard 8-ounce cups of brewed coffee**—is generally not associated with dangerous negative effects for healthy adults. Caffeine content varies widely by size, roast, and preparation.

### When coffee may cause problems
Too much caffeine can lead to:

- Anxiety, jitters, or irritability  
- Insomnia or poor-quality sleep  
- Rapid heartbeat or palpitations  
- Heartburn or stomach discomfort  
- Headaches or withdrawal symptoms  
- Temporary increases in blood pressure  

Coffee can also become less healthy when loaded with sugar, syrups, cream, or high-calorie flavorings. **Unfiltered coffee**, such as French press or boiled coffee, contains compounds that can raise LDL (“bad”) cholesterol in some people; paper-filtered coffee removes much of them.

### Special situations
- **Pregnancy:** The American College of Obstetricians and Gynecologists recommends limiting caffeine to **under 200 mg per day**.  
- **Certain heart, anxiety, sleep, or gastrointestinal conditions:** You may need less or none.  
- **Medications:** Caffeine can interact with some medicines, so check with a clinician or pharmacist if concerned.  
- **Children and adolescents:** Caffeinated drinks are generally discouraged.

**Bottom line:** For most people, a few cups of plain or lightly sweetened coffee earlier in the day is generally safe. If it disrupts your sleep, worsens anxiety or reflux, or causes palpitations, reduce your intake or switch to decaf.",
Q005,B,"**The short answer is no, coffee is not bad for most people.** In fact, extensive research over the last few decades shows that drinking coffee in moderation can actually be part of a healthy lifestyle and offers several significant health benefits. 

However, whether coffee is ""good"" or ""bad"" for you depends on how much you drink, what you add to it, and how your individual body reacts to caffeine.

Here is a breakdown of what the science says:

---

### The Health Benefits of Coffee
According to the **Harvard T.H. Chan School of Public Health**, moderate coffee consumption—about 3 to 5 cups a day—is consistently linked to a lower risk of several chronic diseases. 

Key benefits include:
*   **Lower risk of Type 2 Diabetes:** Regular coffee drinkers have a lower risk of developing type 2 diabetes, likely due to coffee’s high concentration of antioxidants and anti-inflammatory compounds.
*   **Heart Health:** A study presented by the **European Society of Cardiology** found that drinking up to 3 cups of coffee per day was associated with a lower risk of stroke, heart disease, and overall mortality.
*   **Brain Protection:** Research compiled by **Johns Hopkins Medicine** highlights that coffee drinkers are less likely to develop Alzheimer’s disease and Parkinson’s disease.
*   **Liver Protection:** Coffee appears to protect the liver against conditions like cirrhosis and liver cancer. 

---

### When Can Coffee Be Bad for You?
While coffee has many perks, it can cause problems under certain circumstances:

1. **Too Much Caffeine:** Drinking too much coffee can lead to anxiety, restlessness, quickened heart rate, digestive upset, and sleep disruption. 
2. **High-Calorie Additives:** A plain cup of black coffee has about 2 calories. However, specialty drinks loaded with flavored syrups, heavy cream, and whipped cream turn coffee into a high-sugar, high-calorie dessert, which can contribute to weight gain and spike blood sugar.
3. **Cholesterol Concerns:** Unfiltered coffee (like French press, Turkish coffee, or espresso) contains compounds called *cafestol* and *kahweol*, which can raise LDL (""bad"") cholesterol levels if consumed in large amounts. Paper filters catch most of these compounds.
4. **Pregnancy:** The **American College of Obstetricians and Gynecologists (ACOG)** advises pregnant women to limit caffeine intake to under 200 milligrams per day (about one 12-ounce cup of coffee), as high caffeine levels have been linked to lower birth weights.

---

### How Much Coffee is Safe?
According to the **U.S. Food and Drug Administration (FDA)**, 400 milligrams of caffeine a day—equivalent to about **4 standard cups of brewed coffee**—is generally safe for healthy adults and isn't associated with negative side effects.

---

### The Bottom Line
For the vast majority of healthy adults, drinking coffee daily is safe and likely beneficial. To get the most health benefits from your coffee:
*   Keep daily intake around 2 to 4 cups.
*   Limit added sugar and heavy creams.
*   Use paper filters if you drink coffee daily and are monitoring your cholesterol.
*   Avoid caffeine in the late afternoon and evening to protect your sleep quality. 

*If you experience symptoms like heart palpitations, severe anxiety, or acid reflux, consult a healthcare provider to see if you should reduce your intake.*",
Q005,C,"# Is Coffee Bad for You?

The short answer: **For most adults, moderate coffee consumption is safe and may even have health benefits.**

## What the research shows:

**Potential benefits:**
- May lower risk of certain diseases (type 2 diabetes, Parkinson's, some cancers)
- Associated with improved focus and alertness
- May support heart health in moderate amounts

**Potential concerns:**
- Can increase anxiety or sleep problems in sensitive people
- May raise blood pressure temporarily
- Can cause digestive issues for some
- Caffeine dependence and withdrawal headaches are possible

## Guidelines:

According to the **FDA**, most healthy adults can safely consume up to **400mg of caffeine daily** (roughly 4 cups of coffee). Individual tolerance varies based on:
- Body weight
- Medications
- Pregnancy status
- Existing health conditions

## Who should be cautious:

- Pregnant or breastfeeding women
- People with anxiety disorders
- Those sensitive to caffeine
- Anyone with certain heart conditions

**Bottom line:** Coffee isn't inherently ""bad"" for you, but like most things, moderation is key. If you enjoy coffee and tolerate it well, there's no need to eliminate it.

If you have specific health concerns, it's worth discussing with your doctor.",
Q006,A,"**Yes, most healthy adults can safely take ibuprofen and acetaminophen together.** 

In fact, research shows that combining the two often provides better pain relief than taking either medication alone, particularly for conditions like toothaches, muscle aches, or post-surgery pain. 

Because they belong to different drug classes, they work differently in the body and are processed by different organs:
* **Ibuprofen** (found in Advil and Motrin) is a Nonsteroidal Anti-inflammatory Drug (NSAID). It reduces inflammation, targets pain at the site, and is primarily processed by the stomach and kidneys.
* **Acetaminophen** (found in Tylenol) is an analgesic (pain reliever) and fever reducer. It works mainly in the central nervous system to block pain signals and is processed by the liver.

---

### How to Take Them Together

According to guidance from the **UK National Health Service (NHS)** and the **Mayo Clinic**, you can take them in one of two ways:

1. **At the same time:** You can take a standard dose of both medications together if you need immediate, strong pain relief.
2. **Alternating (Staggering) doses:** You can take one medication first, and then take the other a few hours later. For example, you might take ibuprofen at 12:00 PM, acetaminophen at 3:00 PM, ibuprofen at 6:00 PM, and so on. This approach can provide steady, continuous pain coverage throughout the day.

The **U.S. Food and Drug Administration (FDA)** has even approved over-the-counter combination pills—such as *Advil Dual Action*—which contain fixed doses of both ibuprofen and acetaminophen in a single tablet.

---

### Critical Safety Rules

While combining them is safe for most people, you must follow these guidelines to avoid accidental overdose or organ damage:

* **Do not exceed maximum daily limits:**
  * **Acetaminophen:** Do not exceed 3,000 mg to 4,000 mg in a 24-hour period.
  * **Ibuprofen:** Do not exceed 1,200 mg per day for over-the-counter use (unless directed otherwise by a doctor).
* **Check other medications for ""hidden"" ingredients:** Acetaminophen is a common ingredient in many prescription pain relievers, as well as multi-symptom cold, flu, and sinus medications (like NyQuil or DayQuil). Always read ingredient labels so you don't accidentally take a double dose of acetaminophen.
* **Avoid alcohol:** Combining alcohol with acetaminophen increases the risk of liver damage, while combining alcohol with ibuprofen increases the risk of stomach bleeding.

---

### Who Should Be Cautious?

You should consult a doctor or pharmacist before combining these medications if you have:
* Liver disease or a history of heavy alcohol use (avoid or limit acetaminophen).
* Stomach ulcers, acid reflux, or a history of GI bleeding (avoid ibuprofen).
* Kidney disease, high blood pressure, or heart disease (avoid ibuprofen).
* Are currently taking blood thinners (like warfarin) or daily aspirin.

*Disclaimer: This information is for educational purposes and should not replace medical advice from a qualified healthcare professional. If your pain persists for more than a few days, contact a doctor.*",
Q006,B,"# Ibuprofen and Acetaminophen Together: Safety Overview

**Yes, it is generally considered safe for adults to take ibuprofen and acetaminophen together**, and this combination is actually sometimes recommended by healthcare providers for moderate to severe pain.

## Key Points:

**Why it works:**
- They work through different mechanisms (ibuprofen reduces inflammation; acetaminophen blocks pain signals)
- This complementary action can provide better pain relief than either drug alone

**Important safety guidelines:**
- Take them at **different times** (don't take them simultaneously)
- Follow dosing instructions carefully to avoid exceeding maximum daily limits
- Acetaminophen max: typically 3,000-4,000 mg per day
- Ibuprofen max: typically 1,200 mg per day (over-the-counter)

**When to avoid:**
- People with liver or kidney disease
- Those with certain stomach conditions
- Anyone with allergies to either medication
- If taking other medications containing these drugs (check labels)

## Bottom Line:

While the combination can be effective, **it's best to consult your doctor or pharmacist before combining them**, especially if you're taking other medications or have existing health conditions. They can provide personalized guidance based on your specific situation.

If you need stronger pain relief, your healthcare provider can recommend other safe options.",
Q006,C,"Yes. **Most healthy adults can take ibuprofen and acetaminophen (paracetamol) together for short-term pain relief**, because they work in different ways. They may be taken at the same time or staggered; they do not generally need to be separated.

### Typical adult over-the-counter doses
- **Acetaminophen:** 650–1,000 mg every 6–8 hours  
  - Do not exceed the package limit. As a safety margin, many clinicians recommend staying at **3,000 mg per day or less**; the absolute maximum for healthy adults is generally **4,000 mg per day from all sources**.
- **Ibuprofen:** 200–400 mg every 6–8 hours with food  
  - Do not exceed **1,200 mg per day** without medical advice.

Check labels carefully: many cold, flu, and prescription products already contain acetaminophen or an NSAID such as ibuprofen.

### Ask a clinician before using them if you have:
- Liver disease, heavy alcohol use, or regular binge drinking — acetaminophen risk
- Kidney disease, stomach ulcers or bleeding, heart failure, uncontrolled high blood pressure, or cardiovascular disease — ibuprofen risk
- Use of blood thinners, steroids, lithium, or certain blood-pressure medicines
- Pregnancy, particularly **after 20 weeks**; ibuprofen should generally be avoided later in pregnancy unless specifically advised

Do not combine ibuprofen with other NSAIDs such as naproxen or aspirin for pain. Stop and seek urgent help for vomiting blood, black stools, severe abdominal pain, trouble breathing, facial swelling, or if you may have taken too much acetaminophen or ibuprofen.

For personalized advice, a pharmacist or clinician can check your medicines and medical conditions. Sources: **U.S. Food and Drug Administration (FDA)** and **NHS guidance on taking ibuprofen with paracetamol**.",
Q007,A,"**No, cracking your knuckles does not cause arthritis.** 

Medical experts and scientific research consistently show that the habit of popping or cracking your knuckles does not lead to osteoarthritis or joint damage.

### What causes the popping sound?
The sound you hear isn’t your bones cracking or rubbing together. Your joints are surrounded by a clear liquid called **synovial fluid**, which acts as a lubricant. When you stretch or bend your fingers to crack a knuckle, you expand the space inside the joint. This lowers the pressure and causes dissolved gases in the fluid (like nitrogen and carbon dioxide) to form tiny bubbles, which rapidly collapse or pop, creating the sound.

### What does the science say?
Several studies have investigated this common myth, and all have come to the same conclusion:

* **Dr. Donald Unger’s 60-Year Experiment:** One of the most famous pieces of evidence comes from an informal, long-term experiment conducted by Dr. Donald Unger. For over 60 years, he cracked the knuckles on his left hand at least twice a day, but never cracked the knuckles on his right hand. At the end of his experiment, neither hand showed any signs of arthritis. His study was published in the journal ***Arthritis & Rheumatism*** in 1998, and he won an Ig Nobel Prize for his research in 2009.
* **The 2011 Family Medicine Study:** A larger clinical study published in the ***Journal of the American Board of Family Medicine*** evaluated 215 people between the ages of 50 and 89. The researchers found that the prevalence of osteoarthritis was nearly identical between habitual knuckle-crackers (18.1%) and non-knuckle-crackers (21.5%), proving no link between the habit and joint degeneration.
* **Harvard Health Publishing:** According to ***Harvard Health Publishing***, while knuckle cracking is generally harmless, an older 1990 study suggested it might occasionally lead to reduced grip strength or minor hand swelling in extreme cases, though modern research shows these risks are minimal.

### Is there any reason to stop?
While cracking your knuckles won't cause arthritis, you should pay attention if the popping is accompanied by **pain, swelling, or reduced mobility**. If popping a joint hurts, it could be a sign of a pre-existing injury, torn cartilage, or another underlying joint issue, and you should consult a doctor. 

Otherwise, the biggest risk of cracking your knuckles is simply annoying the people around you.",
Q007,B,"No. **Cracking your knuckles has not been shown to cause arthritis**, including osteoarthritis.

The popping sound is generally caused by changes in pressure that form or release gas bubbles in the joint fluid—not by bones grinding away. Studies, including one published in the *Journal of the American Board of Family Medicine*, found no meaningful difference in hand arthritis between habitual knuckle crackers and people who do not crack their knuckles.

It may occasionally cause temporary soreness or swelling if done forcefully. If a joint is painful, persistently swollen, stiff, or difficult to move, have it evaluated—those symptoms may indicate another problem.",
Q007,C,"# Does Cracking Your Knuckles Cause Arthritis?

**Short answer: No, there's no scientific evidence that cracking your knuckles causes arthritis.**

## What the Research Shows

The most famous study on this topic was conducted by **Dr. Donald Unger**, who famously cracked the knuckles of only his left hand for 60 years while leaving his right hand alone. He found no difference in arthritis development between the two hands.

More recent research published in medical journals has similarly found no link between knuckle cracking and arthritis. Multiple studies have examined this question, and the consensus among rheumatologists is that the habit doesn't increase arthritis risk.

## What Actually Causes That Sound?

When you crack your knuckles, you're creating a bubble of gas in the synovial fluid surrounding your joints. The ""popping"" sound comes from this bubble collapsing, not from bones or cartilage damage.

## The Caveat

While knuckle cracking itself doesn't cause arthritis, **repeatedly injuring your hands** (such as from chronic trauma or impact) could potentially damage joints over time. But normal knuckle cracking isn't a concern.

So while it might annoy people around you, you can crack your knuckles without worrying about developing arthritis!",
Q008,A,"The human body makes vitamin D mainly through **sunlight exposure**:

1. **UVB rays from sunlight** reach the skin and convert a cholesterol-like compound called **7-dehydrocholesterol** into **previtamin D₃**.
2. Body heat rapidly converts previtamin D₃ into **vitamin D₃ (cholecalciferol)**.
3. The **liver** converts vitamin D₃ into **25-hydroxyvitamin D**, the main form measured in blood.
4. The **kidneys** convert it into **1,25-dihydroxyvitamin D (calcitriol)**, the active form that helps regulate calcium and phosphorus, supporting bones, muscles, and immune function.

Vitamin D can also come from foods such as fatty fish, egg yolks, fortified milk, and supplements. How much the skin produces depends on factors including season, latitude, time of day, skin pigmentation, age, clothing, sunscreen, and air pollution. Excessive sun exposure is not recommended because it increases skin-cancer risk; vitamin D should not be obtained by sunburning.",
Q008,B,"# How the Human Body Produces Vitamin D

The human body produces vitamin D primarily through **sun exposure**:

## The Process

1. **Skin exposure to sunlight** — When your skin is exposed to ultraviolet B (UVB) radiation from the sun, it triggers a chemical reaction in cells containing a cholesterol-derived compound called 7-dehydrocholesterol.

2. **Initial conversion** — This reaction converts that compound into **previtamin D3**, which then converts into **vitamin D3** (cholecalciferol).

3. **Liver processing** — The vitamin D3 travels to your liver, where it's converted into **25-hydroxyvitamin D** [25(OH)D], which is the form doctors measure to check your vitamin D status.

4. **Kidney activation** — Finally, your kidneys convert it into **1,25-dihydroxyvitamin D**, the active form your body actually uses.

## Factors Affecting Production

Several things influence how much vitamin D your body makes:
- **Season and latitude** — Winter sun and northern locations produce less vitamin D
- **Time of day** — Midday sun is most effective
- **Skin tone** — Darker skin requires more sun exposure
- **Age** — Older adults produce less efficiently
- **Sunscreen and clothing** — These block UVB rays

Your body can also obtain vitamin D from food sources (like fatty fish and fortified milk) and supplements, though sun exposure remains the most natural and efficient method.",
Q008,C,"The human body produces vitamin D through a remarkable multi-step chemical process that begins on your skin when you are exposed to sunlight. Because of this, vitamin D is often called the ""sunshine vitamin."" 

According to the **National Institutes of Health (NIH) Office of Dietary Supplements**, here is the step-by-step breakdown of how your body makes and uses vitamin D:

### Step 1: Sunlight hits the skin
Your skin naturally contains a specific type of cholesterol called **7-dehydrocholesterol**. When Ultraviolet B (UVB) rays from sunlight hit your bare skin, the energy from the light breaks down this cholesterol derivative and converts it into **previtamin D3**, which quickly rearranges itself into **vitamin D3 (cholecalciferol)**. 

### Step 2: The Liver converts it
At this point, the vitamin D3 made by your skin is inactive—your body cannot use it yet. It enters your bloodstream and travels to the **liver**. The liver adds oxygen and hydrogen molecules to it, converting it into a compound called **25-hydroxyvitamin D** (also known as *calcidiol*). 
*(Note: When a doctor orders a blood test to check your vitamin D levels, this is the compound they are measuring.)*

### Step 3: The Kidneys activate it
From the liver, the compound travels through the blood to the **kidneys**. The kidneys perform the final chemical conversion, turning it into **1,25-dihydroxyvitamin D** (also known as *calcitriol*). 

This is the fully active, hormone-like form of vitamin D. Once activated, it goes to work helping your intestines absorb calcium and phosphorus, which are vital for building strong bones, supporting immune function, and regulating muscle activity.

---

### Factors That Affect How Much Vitamin D You Produce

Not everyone produces the same amount of vitamin D from sunlight. As noted by **Harvard Health Publishing**, several factors can reduce your body's ability to synthesize it:

*   **Skin Tone:** People with darker skin have more melanin, a pigment that acts as a natural sunscreen. Melanin reduces the skin's ability to produce vitamin D from sunlight, meaning darker skin requires more time in the sun to produce the same amount as lighter skin.
*   **Location and Season:** If you live far north or south of the equator (like the northern U.S. or Europe), the sun's rays are too weak during late fall and winter for your skin to produce any vitamin D.
*   **Time of Day:** The sun's rays are strongest between 10:00 a.m. and 3:00 p.m., which is the optimal window for vitamin D production.
*   **Age:** As people age, their skin becomes less efficient at producing vitamin D.
*   **Sunscreen and Clothing:** Sunscreen with SPF 15 or higher blocks up to 99% of UVB rays, preventing vitamin D production. Clothing covering the arms and legs also blocks production.

Because direct sun exposure carries a risk of skin damage and skin cancer, health organizations like the **American Academy of Dermatology** recommend getting a portion of your vitamin D safely through foods (like fatty fish, egg yolks, and fortified milk) or dietary supplements rather than relying solely on sun exposure.",
Q009,A,"According to the **CDC (Centers for Disease Control and Prevention)**:

- **Adults ages 18–60:** **7 or more hours** per night  
- **Adults ages 61–64:** **7–9 hours**  
- **Adults 65 and older:** **7–8 hours**  

These recommendations are listed on the CDC’s **“About Sleep and Your Health”** page.",
Q009,B,"# Recommended Sleep for Adults

According to the **Centers for Disease Control and Prevention (CDC)**, adults aged 18-60 years should get **7 or more hours of sleep per night** on a regular basis to promote optimal health and well-being.

The CDC emphasizes that this is the amount associated with better health outcomes, including improved immune function, metabolism, and mental health. They also note that getting enough sleep is linked to reduced risk of chronic diseases and injuries.",
Q009,C,"According to the **Centers for Disease Control and Prevention (CDC)**, adults aged 18 and older need **7 or more hours** of sleep per night for optimal health and well-being. 

The CDC breaks down the recommendations for adults by specific age groups as follows:

*   **Adults aged 18 to 60 years:** 7 or more hours per night
*   **Adults aged 61 to 64 years:** 7 to 9 hours per night
*   **Adults aged 65 years and older:** 7 to 8 hours per night

These guidelines are based on a joint consensus statement from the American Academy of Sleep Medicine (AASM) and the Sleep Research Society (SRS), which the CDC endorses. The CDC notes that getting fewer than 7 hours of sleep regularly is associated with an increased risk of developing chronic conditions like obesity, diabetes, high blood pressure, heart disease, and depression.",
Q010,A,"The CDC recommends that adults get **at least 150 minutes of moderate-intensity physical activity per week**—such as brisk walking—or **75 minutes of vigorous-intensity activity**, plus **muscle-strengthening activities on at least 2 days per week**.

Source: **U.S. Centers for Disease Control and Prevention (CDC), “How Much Physical Activity Do Adults Need?”**",
Q010,B,"According to the **Centers for Disease Control and Prevention (CDC)**, adults need at least **150 minutes** of moderate-intensity physical activity per week. 

Here is how the CDC breaks down its physical activity guidelines for adults aged 18 to 64:

### 1. Aerobic Activity (Cardio)
You can meet the weekly target in one of three ways:
* **150 minutes** of moderate-intensity activity (such as brisk walking, light cycling, or water aerobics) per week. This breaks down to about **30 minutes a day, 5 days a week**.
* **75 minutes** of vigorous-intensity activity (such as running, swimming laps, or a high-intensity workout class) per week.
* **An equivalent mix** of moderate- and vigorous-intensity activity.

### 2. Muscle-Strengthening Activity
In addition to aerobic exercise, the CDC recommends:
* **2 or more days a week** of muscle-strengthening activities (such as lifting weights, using resistance bands, or doing bodyweight exercises like push-ups and sit-ups) that work all major muscle groups (legs, hips, back, abdomen, chest, shoulders, and arms).

***

*Source: The Centers for Disease Control and Prevention (CDC) Physical Activity Basics for Adults, which aligns with the U.S. Department of Health and Human Services' Physical Activity Guidelines for Americans.*",
Q010,C,"# CDC Physical Activity Recommendations for Adults

According to the CDC, adults should aim for:

- **150 minutes per week** of moderate-intensity aerobic activity (like brisk walking or cycling), OR
- **75 minutes per week** of vigorous-intensity aerobic activity (like running or fast cycling)

Additionally, the CDC recommends adults do **muscle-strengthening activities** on 2 or more days per week.

These guidelines apply to adults aged 18-64 years old. The CDC notes that some physical activity is better than none, and that exceeding these minimums provides even greater health benefits.",
