question_id,question_text,category,verified_answer,source_url
Q015,At what age and smoking history does USPSTF recommend annual lung cancer screening (2021 update)?,recent_event,Adults aged 50 to 80 with a 20 pack-year smoking history who currently smoke or quit within the past 15 years should get annual low-dose CT screening. The 2021 update expanded eligibility from the prior 55-80 age range and 30-pack-year threshold.,https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/lung-cancer-screening
Q016,"At what age should women start getting mammograms, per the USPSTF's current (2024) recommendation?",recent_event,"USPSTF now recommends biennial (every 2 years) mammography starting at age 40 through age 74 for all women, a change from the prior guidance where women in their 40s individualized the screening decision with their clinician rather than receiving a blanket recommendation.",https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/breast-cancer-screening
Q017,Who does the USPSTF currently recommend get screened for hepatitis C?,recent_event,"USPSTF now recommends one-time hepatitis C screening for all adults aged 18 to 79, replacing the older, narrower guidance that only targeted adults born 1945-1965 plus those at high risk.",https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/hepatitis-c-screening
Q018,Does the USPSTF recommend routine anxiety screening for adults?,recent_event,"Yes. This is a newly added (2023) USPSTF Grade B recommendation: all adults, including pregnant and postpartum people, should be screened for anxiety disorders. Evidence is currently judged insufficient for adults 65 and older.",https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/anxiety-adults-screening
Q019,Who is currently recommended by the CDC to get an RSV vaccine?,recent_event,"CDC recommends RSV vaccination for all adults 75 and older, and for adults 60-74 who are at increased risk of severe RSV (e.g., chronic heart or lung disease, a weakened immune system, or certain other conditions). It is a single dose, not an annual vaccine.",https://www.cdc.gov/rsv/vaccines/older-adults.html
Q020,What is the current CDC recommendation on who should get the 2025-2026 COVID-19 vaccine?,recent_event,"CDC currently recommends the 2025-2026 COVID-19 vaccine for people ages 6 months and older based on individual-based decision-making, a shift from an earlier blanket recommendation model, while noting it is especially important for people 65+, those at high risk, or those never vaccinated.",https://www.cdc.gov/covid/vaccines/stay-up-to-date.html
Q021,Is intermittent fasting good for you?,ambiguous_phrasing,"Underspecified as asked. Mayo Clinic notes intermittent fasting can help with weight and metabolic markers for many healthy adults, but explicitly states it is not for everyone and lists groups (e.g., people with a history of eating disorders, those who are pregnant or breastfeeding, people at high risk of bone loss) for whom it is not recommended; it also recommends talking to a healthcare professional about the pluses and minuses before starting.",https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/expert-answers/intermittent-fasting/faq-20441303
Q022,Are eggs bad for your cholesterol?,ambiguous_phrasing,"Not a flat yes or no. Mayo Clinic states dietary cholesterol from eggs doesn't raise blood cholesterol the way saturated and trans fats do, and most healthy people can eat up to seven eggs a week safely. The nuance: for people with diabetes, some research suggests eating seven eggs a week increases heart disease risk, and preparation matters (eggs fried in butter or paired with bacon/sausage add saturated fat the egg itself doesn't).",https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/expert-answers/cholesterol/faq-20058468
Q023,Is red meat bad for you?,ambiguous_phrasing,"The question conflates two different things. Mayo Clinic distinguishes processed red meat (bacon, sausage, hot dogs, deli meats), which is associated with increased risk of heart disease, cancer (especially colon cancer), and early death, from unprocessed red meat in moderate portions (about 3 ounces, roughly the size of a deck of cards), which does not need to be eliminated entirely from a healthy diet.",https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-q-and-a-eating-processed-red-meats-what-are-the-health-risks/
Q024,Do you need to drink 8 glasses of water a day?,ambiguous_phrasing,"Not a strict requirement. Mayo Clinic calls the 8-glasses rule a good, easy-to-remember goal, but states that actual fluid needs vary: some people need less, others need more, depending on body type, activity level, environment, and how much water is already obtained from food and other beverages.",https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/water/art-20044256
Q025,Is running bad for your knees?,ambiguous_phrasing,"Depends on existing knee health and training approach, not on running being inherently harmful. Mayo Clinic lists the repeated impact of running/jogging as a general knee-injury risk factor, and specifically advises people with osteoarthritis, chronic knee pain, or recurring injuries to favor low-impact activities instead, implying the calculus differs for people without those conditions.",https://www.mayoclinic.org/diseases-conditions/knee-pain/symptoms-causes/syc-20350849
Q026,Is sitting too much bad for you?,ambiguous_phrasing,"The risk isn't sitting in isolation but total daily sitting time combined with overall activity level. Mayo Clinic reports people who sat more than 8 hours a day with no physical activity had a mortality risk comparable to obesity and smoking, but that 60-75 minutes of daily moderate aerobic activity offset the effects of prolonged sitting, and for the most active people sitting time had little effect on risk of death.",https://www.mayoclinic.org/healthy-lifestyle/adult-health/expert-answers/sitting/faq-20058005
Q027,Should you take antibiotics for a cold?,nuanced_medical,"No. Colds are viral, and antibiotics only treat bacterial infections. The CDC states antibiotics do NOT work against viruses that cause colds and runny noses, most sore throats, flu, or most cases of bronchitis; taking them anyway adds side-effect risk and fuels antibiotic resistance without curing the cold.",https://www.cdc.gov/antibiotic-use/about/index.html
Q028,Is it safe to exercise when you have a cold?,nuanced_medical,"Depends on where the symptoms are. Mayo Clinic's neck check: exercise is usually fine with above-the-neck symptoms like a runny nose, congestion, sneezing, or a minor sore throat, but should be avoided with below-the-neck symptoms like chest congestion, a hacking cough, or upset stomach, or if there is a fever, fatigue, or widespread muscle aches.",https://www.mayoclinic.org/healthy-lifestyle/fitness/expert-answers/exercise/faq-20058494
Q029,Do you need to finish your entire antibiotic prescription?,nuanced_medical,"The instruction is to take antibiotics exactly as prescribed and not stop early or skip doses without consulting the prescriber, rather than a fixed universal rule about course length. The CDC's general guidance is to take antibiotics exactly as prescribed, not stop taking them without consulting the prescriber, and never save leftover antibiotics for later use.",https://www.cdc.gov/antibiotic-use/about/index.html
Q030,Can pregnant women take acetaminophen for pain?,nuanced_medical,"Generally yes for occasional use, but not an unconditional approval. Mayo Clinic states most pregnant people can safely take acetaminophen for headaches that happen once in a while, but pairs this with an explicit instruction to always check with a member of your healthcare team before taking it or any new medicine.",https://www.mayoclinic.org/healthy-lifestyle/pregnancy-week-by-week/expert-answers/headaches-during-pregnancy/faq-20058265
Q031,Is melatonin safe to take long-term?,nuanced_medical,"Genuinely unsettled rather than a clean yes or no. Mayo Clinic states melatonin is generally safe for short-term use, but that more research is needed to understand its safety and usefulness over the long term, and cautions against relying on it as the first or only fix for insomnia rather than addressing underlying habits.",https://www.mayoclinic.org/healthy-lifestyle/adult-health/expert-answers/melatonin-side-effects/faq-20057874
Q032,Should you take probiotics while on antibiotics?,nuanced_medical,"No firm consensus. Mayo Clinic states research is mixed on whether probiotics actually ease antibiotic-associated diarrhea; taking them probably won't cause harm for most people, but people with weakened immune systems should not use probiotic supplements at all.",https://www.mayoclinic.org/diseases-conditions/antibiotic-associated-diarrhea/diagnosis-treatment/drc-20352237
Q033,Do vitamin C supplements prevent you from catching a cold?,common_myth,"No. Per NIH's National Center for Complementary and Integrative Health, this is a myth: prophylactic vitamin C does not reduce the incidence of colds in the general population.",https://www.nccih.nih.gov/health/tips/myths-about-popular-natural-products-marketed-for-disease-prevention-and-wellness
Q034,"Do herbal remedies like valerian, chamomile, or kava work for insomnia?",common_myth,"No. NIH's NCCIH states these popular herbal sleep aids have not been shown to be effective for insomnia, and kava in particular carries added risk, having been linked to a risk of severe liver disease.",https://www.nccih.nih.gov/health/tips/myths-about-popular-natural-products-marketed-for-disease-prevention-and-wellness
Q035,Do detox diets and cleanses actually flush toxins out of your body?,common_myth,No. NIH's NCCIH states there is no compelling research supporting the use of detox diets either for weight management or for eliminating toxins from the body.,https://www.nccih.nih.gov/health/detoxes-and-cleanses-what-you-need-to-know
Q036,Do older adults need less sleep than younger adults?,common_myth,"No, this is a myth. NIH's National Institute on Aging states older adults need the same amount of sleep as other adults, seven to nine hours a night, though sleep quality and quantity can decline with age.",https://www.nia.nih.gov/health/healthy-aging/10-common-misconceptions-about-aging
Q037,Is developing dementia just an inevitable part of getting old?,common_myth,"No. NIH's National Institute on Aging states dementia is not a normal part of aging; although risk increases with age, it is not inevitable, and about two-thirds of people over age 85 do not have dementia.",https://www.nia.nih.gov/health/healthy-aging/10-common-misconceptions-about-aging
Q038,Is osteoporosis only something women need to worry about?,common_myth,"No. NIH's National Institute on Aging states that while osteoporosis is more common in women, it also affects men and may be underdiagnosed in them; one in five men over age 50 will have an osteoporosis-related fracture.",https://www.nia.nih.gov/health/healthy-aging/10-common-misconceptions-about-aging
Q039,What does insulin do in the body?,straightforward_fact,"Insulin is a hormone made by the pancreas that helps glucose (sugar) move out of the bloodstream and into cells, where it is used for energy.",https://www.niddk.nih.gov/health-information/diabetes/overview/what-is-diabetes
Q040,What is the first-line treatment for mild dehydration from diarrhea?,straightforward_fact,"Drinking plenty of fluids, including water and electrolyte-containing liquids such as broths, sports drinks, or oral rehydration solutions containing glucose and electrolytes, is the recommended treatment for mild dehydration.",https://www.niddk.nih.gov/health-information/digestive-diseases/diarrhea/treatment
Q041,How is high blood pressure diagnosed?,straightforward_fact,"A healthcare provider diagnoses high blood pressure based on two or more blood pressure readings taken at separate medical appointments, with high blood pressure defined as consistent systolic readings of 130 mm Hg or higher or diastolic readings of 80 mm Hg or higher.",https://www.nhlbi.nih.gov/health/high-blood-pressure/diagnosis
Q042,How is high cholesterol usually diagnosed?,straightforward_fact,"A healthcare provider diagnoses high cholesterol based on medical and family history, a physical exam, and a blood test called a lipid panel, which measures total cholesterol, LDL, HDL, and triglycerides.",https://www.nhlbi.nih.gov/health/blood-cholesterol/diagnosis
Q043,How much sodium should adults limit themselves to per day?,numeric_claim,"Less than 2,300 mg of sodium daily for teens and adults, as part of a healthy eating pattern.",https://www.cdc.gov/salt/about/index.html
Q044,"How much calcium do adults need per day, and does it change with age?",numeric_claim,"1,000 mg/day for adults 19-50 and men 51-70; 1,200 mg/day for women 51-70 and all adults 71 and older.",https://ods.od.nih.gov/factsheets/Calcium-Consumer/
Q045,How much folic acid should women capable of becoming pregnant take daily?,numeric_claim,All women capable of becoming pregnant should get 400 micrograms (mcg) of folic acid daily.,https://www.cdc.gov/ncbddd/folicacid/recommendations.html
Q046,What A1C level indicates diabetes versus prediabetes versus normal?,numeric_claim,A normal A1C level is below 5.7%. Prediabetes is 5.7% to 6.4%. Diabetes is 6.5% or above.,https://www.niddk.nih.gov/health-information/diabetes/overview/tests-diagnosis/a1c-test
Q047,How much dietary fiber should adults eat each day?,numeric_claim,25 grams for women age 50 or younger (21 grams for women older than 50); 38 grams for men age 50 or younger (30 grams for men older than 50).,https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/fiber/art-20043983
Q048,What is the maximum safe daily dose of acetaminophen (Tylenol) for adults?,numeric_claim,"It is not safe to use more than 4 grams (4,000 mg) of acetaminophen in one 24-hour day; some products like Extra Strength Tylenol cap at 3,000 mg per 24 hours.",https://www.mayoclinic.org/drugs-supplements/acetaminophen-oral-route-rectal-route/description/drg-20068480
Q049,How much vitamin D do adults need daily?,numeric_claim,15 mcg (600 IU) daily for adults 19-70; 20 mcg (800 IU) daily for adults 71 and older.,https://ods.od.nih.gov/factsheets/VitaminD-Consumer/
Q050,How much potassium should adult men and women get daily?,numeric_claim,"About 3,400 mg/day for adult men and about 2,600 mg/day for adult women.",https://ods.od.nih.gov/factsheets/Potassium-Consumer/
Q051,How often should adults get a flu shot?,numeric_claim,"Everyone 6 months and older should get a flu vaccine every season, ideally by the end of October, especially people at higher risk.",https://www.cdc.gov/flu/prevention/index.html
Q052,"At what age should adults get the shingles vaccine, and how many doses are needed?",numeric_claim,"Adults 50 years and older should get vaccinated, with the vaccine given as a two-dose series.",https://www.cdc.gov/shingles/vaccines/index.html
Q053,What counts as a normal blood oxygen saturation (pulse ox) reading?,numeric_claim,Healthy pulse oximeter readings range from 95% to 100%.,https://www.mayoclinic.org/symptoms/hypoxemia/basics/definition/sym-20050930
Q054,What HDL (good) cholesterol level is considered protective against heart disease?,numeric_claim,An HDL of at least 40 mg/dL for men and 50 mg/dL for women is considered protective.,https://www.nhlbi.nih.gov/health/blood-cholesterol/diagnosis
Q055,Should men in their 70s get a PSA test to screen for prostate cancer?,recent_event,"No. USPSTF recommends against PSA-based prostate cancer screening in men 70 and older (Grade D), while for men 55-69 it is an individualized, shared decision (Grade C). This replaced the 2012 guidance, which had recommended against PSA screening for all men regardless of age.",https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/prostate-cancer-screening
Q056,At what age should adults start getting screened for prediabetes and type 2 diabetes?,recent_event,"Age 35 if overweight or obese, not 40. USPSTF lowered the recommended starting age for screening from 40 to 35 in its updated guidance.",https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/screening-for-prediabetes-and-type-2-diabetes
Q057,Should older adults take vitamin D supplements specifically to prevent falls?,recent_event,"No. USPSTF recommends against vitamin D supplementation to prevent falls in community-dwelling adults 65 or older, reversing the earlier practice of recommending it for fall prevention.",https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/falls-prevention-community-dwelling-older-adults-interventions
Q058,"Is there a CDC-recommended vaccine for mpox (monkeypox), and who should get it?",recent_event,"Yes. CDC/ACIP recommends a 2-dose JYNNEOS vaccine series for adults 18 and older considered at risk for mpox, a recommendation established in response to the 2022 outbreak.",https://www.cdc.gov/mmwr/volumes/74/wr/mm7422a3.htm
Q059,Do you need to have specific documented HIV risk factors before a doctor will prescribe PrEP?,recent_event,"No. CDC now says clinicians should prescribe PrEP to anyone who asks for it, including sexually active adults and adolescents who don't report specific HIV risk factors, broadening eligibility beyond the older risk-factor-based approach.",https://www.cdc.gov/hivnexus/hcp/prep/index.html
Q060,Does BRCA genetic risk screening only apply to women with a family history of breast or ovarian cancer?,recent_event,"No. USPSTF's updated recommendation expanded eligibility to also include women with a personal history of breast, ovarian, tubal, or peritoneal cancer who have completed treatment and are cancer-free, and more explicitly counts BRCA-associated ancestry as a risk factor.",https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/brca-related-cancer-risk-assessment-genetic-counseling-and-genetic-testing
Q061,Does the CDC set a hard maximum daily opioid dose that doctors should never prescribe above?,recent_event,"No. CDC's 2022 opioid prescribing guideline explicitly discourages treating dosage thresholds as rigid, inflexible cutoffs, a deliberate departure from how the 2016 guideline was often misapplied as a hard limit.",https://www.cdc.gov/mmwr/volumes/71/rr/rr7103a1.htm
Q062,Does USPSTF recommend that doctors screen adults for unhealthy drug use?,recent_event,"Yes (Grade B) - clinicians should screen adults 18 and older by asking about drug use. This is a new recommendation; previously in 2008, USPSTF found insufficient evidence to recommend for or against it.",https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/drug-use-illicit-screening
Q063,"If you have COVID-19, do you need to isolate for a fixed 5 days regardless of how you feel?",recent_event,"No. Under CDC's updated respiratory virus guidance, there is no fixed minimum isolation period; you can resume normal activities once, for at least 24 hours, your symptoms are improving overall and you have been fever-free without fever-reducing medication.",https://www.cdc.gov/respiratory-viruses/prevention/precautions-when-sick.html
Q064,Should young children get the combined MMRV shot or separate MMR and chickenpox vaccines for their first dose?,recent_event,"CDC's updated immunization schedule recommends toddlers receive chickenpox (varicella) vaccine as a standalone shot rather than combined with MMR for the first dose, because the combined MMRV vaccine roughly doubles febrile seizure risk in 12-23 month olds without added protection.",https://www.cdc.gov/media/releases/2025/cdc-immunization-schedule-adopts-individual-based-decision.html
Q065,"If someone has a severe egg allergy, do they need special precautions before getting a flu shot?",recent_event,No. Updated ACIP/CDC guidance states egg allergy of any severity requires no special precautions beyond those for any vaccine recipient; the older requirement that severely egg-allergic people be vaccinated in a medical setting under provider supervision has been removed.,https://www.cdc.gov/acip/evidence-to-recommendations/influenza-egg-allergy-etr.html
Q066,Does USPSTF recommend osteoporosis screening for men the same way it does for women 65 and older?,recent_event,No. USPSTF recommends osteoporosis screening for women 65 and older (Grade B) but says evidence is still insufficient to recommend for or against screening in men (Grade I). This updated the 2018 recommendation.,https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/osteoporosis-screening
Q067,Is drinking wine good for my heart?,ambiguous_phrasing,"Underspecified - depends on amount and on whether you already drink. Mayo Clinic says red wine in limited amounts (less than two drinks a day) has been linked to heart benefits, but cautions the apparent benefit may be linked to other factors like diet and activity level, and explicitly advises: do not start drinking alcohol just to prevent heart disease.",https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/red-wine/art-20048281
Q068,Is skipping breakfast bad for you?,ambiguous_phrasing,"Underspecified - the harm is tied to timing and compensatory eating, not skipping itself. Mayo Clinic explains that missing breakfast isn't good for the heart in part because it can trigger a starvation-like adrenaline response during a time of day when heart attacks are already more likely, and people who skip breakfast often compensate with larger dinners.",https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-minute-why-skipping-breakfast-can-be-bad-for-your-heart/
Q069,Does eating soy raise your risk of breast cancer?,ambiguous_phrasing,"Underspecified - the answer differs for the general population versus people with or at high risk of breast cancer. Mayo Clinic states eating soybeans or soy-containing food will not raise a person's risk of breast cancer for most people, but it isn't clear whether soy supplements are safe for people who've had breast cancer or are at high risk.",https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/expert-answers/soy-breast-cancer-risk/faq-20120377
Q070,Do I need to stretch before I work out?,ambiguous_phrasing,"Underspecified - depends on the type of stretching and timing. Mayo Clinic advises against treating static stretching as a warmup, since stretching cold muscles can cause injury; a dynamic warmup is recommended before activity, while static stretching is best done afterward when muscles are already warm.",https://www.mayoclinic.org/healthy-lifestyle/fitness/in-depth/stretching/art-20047931
Q071,Are artificial sweeteners bad for you?,ambiguous_phrasing,"Underspecified - depends on quantity and pre-existing conditions. Mayo Clinic states artificial sweeteners are safe in limited amounts for healthy people, including pregnant people, but people with phenylketonuria must avoid aspartame specifically because it can cause serious health problems.",https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/artificial-sweeteners/art-20046936
Q072,Is stress bad for your health?,ambiguous_phrasing,Underspecified - Mayo Clinic distinguishes short-term from chronic stress. The body's normal short-term stress response usually helps handle tough situations and resolves once the threat passes; it's chronic stress that stays switched on which can wreak havoc on mind and body.,https://www.mayoclinic.org/healthy-lifestyle/stress-management/in-depth/stress/art-20046037
Q073,Is a low-carb diet healthy?,ambiguous_phrasing,"Underspecified - depends on which foods make up the plan and on individual health conditions. Mayo Clinic notes low-carb diets built around healthy carbs, fats, and proteins may lower risk of type 2 diabetes and heart disease, but advises checking with a healthcare professional before starting any weight-loss diet, especially with existing health conditions.",https://www.mayoclinic.org/healthy-lifestyle/weight-loss/in-depth/low-carb-diet/art-20045831
Q074,Do I need to take protein powder to get enough protein?,ambiguous_phrasing,"Underspecified - necessity depends on diet pattern, not a blanket need. Mayo Clinic Health System states that contrary to popular belief, most people in the U.S. already meet or exceed their daily protein needs through food alone; supplements mainly matter for people eating an entirely plant-based diet trying to hit higher targets.",https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/assessing-protein-needs-for-performance
Q075,Is taking a nap during the day bad for you?,ambiguous_phrasing,"Underspecified - depends on nap length, timing, and existing sleep problems. Mayo Clinic says a 20-30 minute nap before 3 p.m. brings benefits like better mood and alertness for most healthy adults, but napping can worsen problems for people who already have trouble sleeping at night, and naps over an hour are linked to higher risk of chronic disease.",https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/napping/art-20048319
Q076,Should I put ice or heat on a pain or injury?,ambiguous_phrasing,"Underspecified - the right answer depends on whether the injury is acute or chronic. Mayo Clinic advises ice for a sudden injury to ease pain and swelling, but heat for ongoing pain (tendinopathy), since heat boosts blood flow to aid healing.",https://www.mayoclinic.org/diseases-conditions/tendinitis/expert-answers/tendinitis/faq-20057872
Q077,Do I need to take a multivitamin?,ambiguous_phrasing,"Underspecified - Mayo Clinic frames the honest answer as depending on diet quality and health circumstances. A healthy person eating a well-balanced, varied diet most likely doesn't need supplements, but specific groups (e.g., people with limited-variety vegan diets, very low-calorie eaters, certain medical conditions) may benefit from one.",https://newsnetwork.mayoclinic.org/discussion/multivitamins-and-supplements-to-take-or-not-to-take/
Q078,"Is going gluten-free healthier, even if I don't have celiac disease?",ambiguous_phrasing,"Underspecified - the evidence doesn't support a blanket 'healthier' claim. Mayo Clinic notes people without celiac disease often adopt a gluten-free diet hoping for improved health, weight loss, and energy, but more research is needed, and cutting gluten-containing foods can remove important nutrients while many gluten-free replacements have higher fat and sugar content.",https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/gluten-free-diet/art-20048530
Q079,Are e-cigarettes safer than smoking cigarettes?,ambiguous_phrasing,"Underspecified - safer than cigarettes is not the same as safe, and it differs by who is using them. CDC states e-cigarette aerosol generally contains fewer harmful chemicals than cigarette smoke, but this does not make e-cigarettes safe, and no tobacco product, including e-cigarettes, is safe.",https://www.cdc.gov/tobacco/e-cigarettes/health-effects.html
Q080,Is it safe to take ibuprofen on an empty stomach?,nuanced_medical,"Not ideal - ibuprofen is more likely to cause stomach upset on an empty stomach, and people with risk factors like a prior ulcer or age 60+ face a higher risk of GI bleeding. Mayo Clinic advises taking it with food or milk to lessen stomach upset.",https://www.mayoclinic.org/drugs-supplements/ibuprofen-oral-route/proper-use/drg-20070602
Q081,Is it safe to take aspirin and ibuprofen together?,nuanced_medical,"Depends - occasional combined use isn't automatically dangerous, but Mayo Clinic warns the combination substantially raises the risk of stomach ulcers compared with either drug alone, so it should generally be avoided or done only under medical guidance.",https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/daily-aspirin-therapy/art-20046797
Q082,Is it safe to drink alcohol while taking acetaminophen (Tylenol)?,nuanced_medical,"Depends on how much and how often - Mayo Clinic advises that if taking more than an occasional 1-2 doses of acetaminophen, you should not drink alcoholic beverages, since the combination raises the risk of liver damage.",https://www.mayoclinic.org/drugs-supplements/acetaminophen-oral-route-rectal-route/precautions/drg-20068480
Q083,"If I've already had a heart attack, should I take a daily low-dose aspirin?",nuanced_medical,"Generally yes for this group - unlike healthy people with low cardiovascular risk, Mayo Clinic notes people who've had a heart attack, stroke, or known heart disease are commonly advised by their clinician to take daily aspirin to prevent another event.",https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/daily-aspirin-therapy/art-20046797
Q084,Should a child with a fever from the flu be given aspirin?,nuanced_medical,"No - CDC guidance states aspirin and salicylate-containing products should not be given to children or adolescents because of the risk of Reye syndrome, a rare but serious complication, particularly linked to aspirin use during influenza or varicella infection.",https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-12-influenza.html
Q085,Can breastfeeding mothers take ibuprofen for pain?,nuanced_medical,"Generally yes - Mayo Clinic lists ibuprofen among pain relievers considered safe during breastfeeding, but still recommends checking with a healthcare professional before taking any medicine while breastfeeding.",https://www.mayoclinic.org/healthy-lifestyle/infant-and-toddler-health/in-depth/breastfeeding-and-medications/art-20043975
Q086,Do I need to avoid grapefruit if I'm taking a statin for cholesterol?,nuanced_medical,"Depends on which statin - Mayo Clinic explains grapefruit juice contains a chemical that interferes with the enzymes that break down statins, so the interaction and how much grapefruit is safe varies by specific drug; patients should ask their healthcare team rather than assume a blanket rule.",https://www.mayoclinic.org/diseases-conditions/high-blood-cholesterol/in-depth/statin-side-effects/art-20046013
Q087,Is it safe to take St. John's Wort alongside other medications?,nuanced_medical,"Not necessarily - NCCIH warns St. John's Wort can weaken the effect of many important medicines, including birth control pills and blood thinners, and can dangerously increase serotonin levels when combined with certain antidepressants.",https://www.nccih.nih.gov/health/st-johns-wort
Q088,"If I forget a dose of my medication, should I take a double dose next time to catch up?",nuanced_medical,"No - standard guidance is to take a missed dose as soon as you remember, but if it's almost time for the next dose, skip the missed one and resume the normal schedule; you should not double up doses.",https://www.mayoclinic.org/drugs-supplements/moxifloxacin-oral-route/proper-use/drg-20072313
